AREA;POSTCODE;MEDIAN_PRICE;ROOMS;STDEV;AVERAGE_PRICE;CONFIDENCE;95_INTERVAL_MIN;95_INTERVAL_MAX;PORPOTION_ROOMS;FLATMATE_AVERAGE_BUDGET;FLATMATE_MEDIAN_BUDGET;FLATMATE_ADS;PORPOTION_FLATMATE;MED_PRICE-MED_BUDDET;;
Abbey Wood;SE2;500;25;202;563;79;484;642;0,134640241;631,8665689;550;672;0,127972455;50;;+ £50
Acton;W3;771;274;330;811;39;772;850;1,475657044;733,377;700;6282;1,196313936;-71;;- £71
Aldersgate / Finsbury / Holborn;EC1;1126;121;742;1260;132;1127;1392;0,651658768;780,249;750;5827;1,10966592;-376;;- £376
Aldgate;EC3;780;690;636;958;47;911;1006;3,716070659;761,613;700;8460;1,611081805;-80;;- £80
Angel / Islington / Canonbury;N1;900;427;866;1164;82;1082;1246;2,299655321;760,783;700;8553;1,628792279;-200;;- £200
Balham;SW12;725;310;528;850;59;791;908;1,669538992;721,588;700;5362;1,021113551;-25;;- £25
Barnes;SW13;750;195;1110;876;156;720;1031;1,050193882;725,528;700;5389;1,026255301;-50;;- £50
Battersea;SW11;800;381;707;977;71;906;1048;2,051917277;760,882;700;9506;1,810277026;-100;;- £100
Bayswater / Paddington;W2;1083;224;1201;1434;157;1276;1591;1,206376562;763,827;717,5;7889;1,502343305;-366;;- £365,5
Bermondsey / Rotherhithe;SE16;830;160;560;969;87;882;1055;0,861697544;722,509;700;5603;1,067008434;-130;;- £130
Bethnal Green;E2;812;305;577;972;65;907;1036;1,642610944;745,318;700;6546;1,246588829;-112;;- £112
Bishopsgate / Cheapside;EC2;1191;15;351;1214;178;1036;1392;0,080784145;774,149;750;7227;1,376275202;-441;;- £441
Blackheath;SE3;628;47;170;632;48;584;681;0,253123654;654,771;600;1548;0,294793692;-28;;- £28
Bloomsbury / High Holborn;WC1;1015,5;96;635;1181;127;1054;1308;0,517018526;781,165;750;5827;1,10966592;-266;;- £265,5
Bow;E3;723;278;508;876;60;816;936;1,497199483;745,318;700;6546;1,246588829;-23;;- £23
Brixton;SW2;747,5;280;400;825;47;778;872;1,507970702;732,635;700;5722;1,089670223;-48;;- £47,5
Brockley;SE4;600;63;180;626;45;581;670;0,339293408;714,838;700;4981;0,948557739;100;;+ £100
Camberwell;SE5;693;97;506;790;101;690;891;0,522404136;732,635;700;5722;1,089670223;7;;+ £7
Camden;NW1;910;380;797;1119;80;1039;1199;2,046531667;754,112;700;9000;1,713916814;-210;;- £210
Canary Wharf / Docklands;E14;823;712;738;984;54;930;1038;3,834554072;733,786;700;5766;1,098049372;-123;;- £123
Canning Town / North Woolwich / Docks;E16;780;169;1442;978;217;761;1196;0,910168031;675,297;650;2258;0,430002685;-130;;- £130
Catford;SE6;575;111;170;604;32;573;636;0,597802671;639,524;600;1173;0,223380491;25;;+ £25
Charlton;SE7;563;36;355;654;116;538;770;0,193881947;632,3284457;550;672;0,127972455;-13;;- £13
Chelsea;SW3;1100;107;1034;1470;196;1274;1666;0,576260233;754,336;700;6602;1,257253201;-400;;- £400
Chingford;E4;522,5;50;294;602;81;521;684;0,269280483;645,155;600;1178;0,224332667;78;;+ £77,5
Chiswick;W4;770,5;122;1266;1124;225;899;1348;0,657044377;733,377;700;6282;1,196313936;-71;;- £70,5
Clapham;SW4;790;802;639;933;44;889;978;4,31925894;758,095;700;10078;1,919205961;-90;;- £90
Clapton;E5;730;157;449;825;70;755;895;0,845540715;737,745;700;6605;1,257824506;-30;;- £30
Colindale;NW9;595;86;360;662;76;585;738;0,46316243;650,621;600;1018;0,193863035;5;;+ £5
Cricklewood / Dollis Hill;NW2;700;194;670;808;94;713;902;1,044808272;731,52;700;5901;1,123758124;0;;+ £0
Crystal Palace;SE19;590;57;221;623;57;566;680;0,30697975;641,587;600;1425;0,271370162;10;;+ £10
Dalston;E8;759;328;584;923;63;860;986;1,766479966;735,026;700;7435;1,415885724;-59;;- £59
Deptford;SE8;693;153;362;775;57;718;832;0,823998277;717,355;700;5715;1,088337177;7;;+ £7
Dulwich;SE22, SE21;650;80;404;709;89;621;798;0,430848772;716,46;700;4663;0,887999345;50;;+ £50
Ealing;W5;670;251;712;808;88;720;896;1,351788022;660,647;600;1458;0,277654524;-70;;- £70
Earl's Court / West Brompton;SW5;1150;49;683;1299;191;1107;1490;0,263894873;761,653;700;8340;1,588229581;-450;;- £450
East Finchley;N2;650;47;420;733;120;613;853;0,253123654;684,273;650;1563;0,29765022;0;;+ £0
East Ham;E6;541;110;261;585;49;537;634;0,592417062;649,124;600;1500;0,285652802;59;;+ £59
Eltham;SE9;510;63;123;553;30;523;584;0,339293408;622,8501805;569,5;544;0,10359675;60;;+ £59,5
Finchley;N3;720;39;491;831;154;677;985;0,210038776;684,273;650;1563;0,29765022;-70;;- £70
Finsbury Park;N4;730;155;624;882;98;784;981;0,834769496;736,931;700;6239;1,188125223;-30;;- £30
Forest Gate;E7;563;117;203;597;37;560;634;0,630116329;648,874;600;1500;0,285652802;37;;+ £37
Forest Hill;SE23;585;53;294;645;79;565;724;0,285437312;639,915;600;1173;0,223380491;15;;+ £15
Fulham;SW6;900;275;611;1044;72;972;1116;1,481042654;754,848;700;6602;1,257253201;-200;;- £200
Golders Green;NW11;655;67;533;821;128;693;948;0,360835847;742,68;700;6000;1,142611209;45;;+ £45
Greenwich;SE10;700;223;311;773;41;732;814;1,200990952;718,433;700;6069;1,155751238;0;;+ £0
Hammersmith;W6;850;250;723;1041;90;952;1131;1,346402413;744,857;700;7148;1,361230821;-150;;- £150
Hampstead;NW3;950;137;916;1212;153;1058;1365;0,737828522;742,68;700;6000;1,142611209;-250;;- £250
Hanwell;W7;600;48;135;613;38;575;651;0,258509263;660,647;600;1458;0,277654524;0;;+ £0
Hendon;NW4;600;156;373;688;59;629;747;0,840155106;650,621;600;1018;0,193863035;0;;+ £0
Herne Hill;SE24;700;30;147;705;53;652;758;0,16156829;732,515;700;5722;1,089670223;0;;+ £0
Highbury;N5;870;85;1139;1317;242;1075;1559;0,45777682;749,119;700;6655;1,267346266;-170;;- £170
Highgate;N6;763;38;310;839;99;740;937;0,204653167;742,68;700;6000;1,142611209;-63;;- £63
Holland Park;W8;910;251;1148;1261;142;1119;1403;1,351788022;761,653;700;8340;1,588229581;-210;;- £210
Holloway;N7;819;211;759;1041;102;939;1144;1,136363636;739,025;700;6630;1,262585386;-119;;- £119
